wage,education,experience,ethnicity,smsa,south,age,nearcollege,nearcollege2,nearcollege4,enrolled,married,education66,smsa66,south66,feducation,meducation,fameducation,kww,iq,parents14,library14
548,7,16,1,1,0,29,0,no,none,no,yes,5,yes,no,9.93999958,10.25,9,15,#N/A,both,no
481,12,9,0,1,0,27,0,no,none,no,yes,11,yes,no,8,8,8,35,93,both,yes
721,12,16,0,1,0,34,0,no,none,no,yes,12,yes,no,14,12,2,42,103,both,yes
250,11,10,0,1,0,27,1,yes,public,no,yes,11,yes,no,11,12,6,25,88,both,yes
729,12,16,0,1,0,34,1,yes,public,no,yes,12,yes,no,8,7,8,34,108,both,no
500,12,8,0,1,0,26,1,yes,public,no,yes,11,yes,no,9,12,6,38,85,both,yes
565,18,9,0,1,0,33,1,yes,public,no,yes,16,yes,no,14,14,1,41,119,both,yes
608,14,9,0,1,0,29,1,yes,public,no,yes,13,yes,no,14,14,1,46,108,both,yes
425,12,10,0,1,0,28,1,yes,public,no,no,12,yes,no,12,12,3,32,96,both,no
515,12,11,0,1,0,29,1,yes,public,no,yes,12,yes,no,12,12,3,34,97,both,yes
225,9,13,0,1,0,28,1,yes,private,no,yes,9,yes,no,11,12,6,29,84,both,no
400,12,8,0,1,0,26,1,yes,private,no,yes,10,yes,no,11,6,8,34,89,both,yes
417,11,7,0,1,0,24,1,yes,private,no,yes,9,yes,no,11,6,8,22,93,both,yes
217,11,13,0,1,0,30,1,yes,private,no,yes,9,yes,no,11,6,8,27,74,both,no
894,16,9,1,1,0,31,1,yes,private,no,yes,16,yes,no,9.93999958,8,9,43,116,singlemom,yes
300,14,4,0,1,0,24,1,yes,private,no,no,8,yes,no,15,12,2,36,#N/A,both,yes
346,12,16,0,1,0,34,1,yes,private,no,yes,12,yes,no,12,8,5,40,93,both,yes
658,14,9,0,1,0,29,1,yes,private,no,yes,14,yes,no,9.93999958,12,4,35,100,singlemom,yes
575,10,10,0,1,0,26,1,yes,private,no,no,9,yes,no,8,8,8,24,91,both,no
649,12,14,0,1,0,32,1,yes,private,no,yes,12,yes,no,8,8,8,35,88,both,no
944,18,8,0,1,1,32,1,yes,public,no,yes,17,yes,no,12,13,2,43,#N/A,both,yes
614,18,10,0,1,0,34,1,yes,public,no,yes,15,yes,no,9.93999958,8,9,50,114,both,yes
726,15,11,0,0,0,32,1,yes,public,no,yes,14,yes,no,5,14,6,37,111,both,yes
604,12,10,0,1,0,28,1,no,public,no,yes,11,yes,no,14,12,2,44,#N/A,both,yes
693,12,14,0,1,0,32,1,no,public,no,yes,12,yes,no,11,12,6,44,95,both,yes
1400,18,10,0,0,0,34,1,no,public,no,yes,15,yes,no,14,13,1,44,132,both,yes
300,12,8,0,1,0,26,1,no,public,no,no,8,yes,no,7,12,6,27,#N/A,both,yes
1800,18,8,0,1,0,32,1,no,public,no,no,13,yes,no,16,16,1,38,109,both,yes
413,12,7,0,1,0,25,1,no,public,no,yes,10,yes,no,11,12,6,43,108,both,yes
632,14,9,0,0,0,29,1,no,public,no,yes,12,no,no,9.93999958,16,4,45,102,singlemom,yes
208,12,7,0,1,0,25,1,yes,public,no,yes,9,yes,no,12,12,3,30,106,both,yes
457,12,7,1,1,0,25,1,yes,public,no,no,10,yes,no,9.93999958,11,9,40,104,singlemom,yes
824,16,2,0,1,0,24,1,yes,public,no,yes,9,yes,no,10,10,7,24,119,both,yes
577,18,10,0,1,0,34,1,yes,public,no,yes,18,yes,no,9.93999958,12,4,47,122,singlemom,yes
255,11,11,0,1,0,28,1,yes,public,no,yes,11,yes,no,6,10,8,32,90,step,yes
962,16,8,0,1,0,30,1,yes,public,no,yes,13,yes,no,12,12,3,47,118,both,yes
944,10,15,0,1,0,31,1,yes,public,no,yes,10,yes,no,8,6,8,37,105,both,no
1146,18,10,0,1,0,34,1,yes,public,yes,yes,16,yes,no,8,11,8,43,115,both,yes
324,6,15,0,1,0,27,1,yes,public,no,yes,6,yes,no,2,6,8,16,#N/A,both,yes
235,11,7,1,1,0,24,1,yes,public,no,no,9,yes,no,6,12,6,27,65,both,yes
1000,12,16,0,1,0,34,1,yes,public,no,yes,12,yes,no,11,10,7,45,120,both,no
481,9,11,0,1,0,26,1,yes,public,no,no,9,yes,no,9.93999958,12,4,31,86,singlemom,yes
624,15,11,0,1,0,32,1,yes,public,no,yes,12,yes,no,10,12,6,39,109,both,yes
650,11,17,0,1,0,34,1,yes,public,no,yes,11,yes,no,8,10,8,36,72,both,no
344,12,6,1,1,0,24,1,yes,public,no,no,8,yes,no,9.93999958,10,9,31,#N/A,singlemom,no
380,16,2,0,1,1,24,1,yes,public,no,no,9,yes,no,12,10,5,#N/A,#N/A,both,no
353,12,6,0,1,0,24,1,yes,public,no,yes,10,yes,no,12,11,5,25,101,both,yes
659,13,6,0,1,0,25,1,yes,public,no,no,10,yes,no,9.93999958,12,4,29,105,singlemom,yes
621,17,5,0,1,0,28,1,yes,public,yes,yes,13,yes,no,10,10,7,48,136,both,yes
440,12,7,0,1,0,25,1,yes,public,no,yes,10,yes,no,10,11,7,40,101,both,yes
738,12,8,1,1,0,26,1,yes,public,no,no,11,yes,no,12,10,5,34,96,both,yes
280,11,14,1,0,1,31,1,yes,public,no,yes,10,yes,no,5,5,8,36,#N/A,both,no
434,10,8,0,1,0,24,1,yes,public,no,yes,7,yes,no,5,10.25,9,34,#N/A,other,yes
705,12,9,0,1,0,27,1,yes,public,no,yes,11,yes,no,9.93999958,8,9,34,101,singlemom,yes
425,12,9,0,1,0,27,1,yes,public,no,yes,12,yes,no,10,12,6,32,91,both,yes
571,12,6,0,1,0,24,1,yes,public,no,yes,9,yes,no,9.93999958,4,9,35,#N/A,singlemom,yes
538,16,8,0,1,0,30,1,yes,public,no,no,14,yes,no,12,12,3,52,115,both,yes
740,16,10,0,1,0,32,1,yes,public,no,yes,14,yes,no,12,12,3,49,113,both,yes
673,13,13,0,1,0,32,1,yes,public,yes,yes,12,yes,no,10,12,6,43,123,both,yes
769,12,16,0,1,0,34,1,yes,public,no,yes,12,yes,no,10,10,7,36,95,both,yes
592,12,6,0,1,0,24,1,yes,public,no,yes,9,yes,no,10,10,7,26,102,other,yes
213,9,9,1,1,0,24,1,yes,public,no,no,8,yes,no,12,11,5,15,#N/A,both,yes
1563,16,12,0,1,0,34,1,yes,public,no,yes,16,yes,no,12,12,3,50,145,both,yes
774,16,6,0,1,0,28,1,yes,public,no,yes,13,yes,no,11,11,7,35,114,both,yes
600,12,8,0,1,1,26,1,yes,public,no,yes,10,yes,no,8,9,8,35,113,both,no
693,18,0,0,1,0,24,1,yes,public,no,no,8,yes,no,16,16,1,24,#N/A,both,yes
570,13,12,0,1,0,31,1,yes,public,no,no,12,yes,no,8,12,6,40,93,both,yes
433,14,8,0,1,0,28,1,yes,public,no,no,11,yes,no,12,12,3,38,#N/A,both,yes
538,15,7,0,1,0,28,1,yes,public,no,no,13,yes,no,12,12,3,37,119,both,no
627,12,7,0,1,0,25,1,yes,public,no,no,10,yes,no,12,9,5,35,108,other,yes
481,8,17,0,1,0,31,1,yes,public,no,yes,8,yes,no,12,11,5,35,#N/A,both,yes
545,12,8,0,1,0,26,1,yes,public,no,yes,10,yes,no,6,11,8,26,72,both,yes
576,12,7,0,1,0,25,1,yes,public,no,yes,9,yes,no,12,9,5,34,86,both,yes
700,16,3,0,1,0,25,1,yes,public,no,yes,10,yes,no,14,12,2,42,123,both,yes
788,16,6,0,1,0,28,1,yes,public,no,yes,13,yes,no,12,12,3,38,103,both,yes
1012,17,4,0,1,0,27,1,yes,public,no,yes,12,yes,no,12,12,3,42,101,both,yes
758,12,6,0,1,0,24,1,yes,public,no,yes,8,yes,no,12,10,5,30,#N/A,both,yes
601,14,9,0,1,0,29,1,yes,public,yes,no,12,yes,no,12,16,2,41,105,both,yes
283,12,6,0,1,0,24,1,yes,public,no,no,8,yes,no,9.93999958,12,4,34,#N/A,singlemom,yes
250,12,6,0,1,0,24,1,yes,public,no,no,8,yes,no,12,12,3,29,#N/A,step,yes
500,12,8,0,1,0,26,1,yes,public,no,yes,10,yes,no,10,12,6,33,95,both,yes
550,11,14,0,1,0,31,1,yes,public,no,yes,10,yes,no,8,6,8,41,98,both,yes
1143,12,7,0,1,0,25,1,yes,public,no,yes,9,yes,no,8,6,8,27,#N/A,both,yes
810,18,7,0,1,1,31,1,yes,public,no,no,16,yes,no,8,8,8,39,115,both,no
313,12,10,1,1,0,28,1,yes,public,no,no,11,yes,no,9.93999958,9,9,20,60,singlemom,yes
731,18,1,0,1,0,25,1,yes,public,no,yes,10,yes,no,9.93999958,4,9,36,135,singlemom,yes
625,16,3,0,1,0,25,1,yes,public,yes,yes,9,yes,no,9,10,7,35,132,both,yes
588,14,4,0,1,0,24,1,yes,public,yes,yes,9,yes,no,16,12,2,33,106,both,yes
375,14,6,0,1,0,26,1,yes,public,yes,yes,11,yes,no,12,12,3,28,113,both,yes
817,16,7,0,1,1,29,1,yes,public,no,no,13,no,no,14,11,5,43,102,both,yes
865,14,10,0,1,0,30,1,yes,public,no,yes,14,yes,no,15,12,2,32,91,both,yes
350,15,7,0,1,1,28,1,yes,public,no,yes,12,no,no,12,12,3,30,104,both,yes
202,13,5,0,1,1,24,1,yes,public,no,yes,8,yes,no,12,12,3,22,#N/A,both,yes
505,13,13,0,1,1,32,1,yes,public,no,yes,13,yes,no,16,16,1,43,97,step,yes
816,17,7,0,1,0,30,1,yes,public,no,yes,15,yes,no,12,13,2,41,125,both,yes
