detected_arch_length,simulated_arch_length,arch_length_discrepancy,label,num_incisors,num_canines,num_premolars,num_molars,avg_confidence_incisor,avg_confidence_canine,avg_confidence_premolar,avg_confidence_molar,detected_arch_length_outliers_flg
1971.03247,1933.323083,37.70938774,invisalign,4,2,4,4,0.8937479854,0.9027037024,0.9088450819,0.915597558,False
2083.646892,2042.674624,40.97226736,basic,4,2,4,5,0.8921524137,0.8935467899,0.8962103426,0.831014204,False
1816.608868,1705.108935,111.4999328,pro,4,2,4,4,0.8884583414,0.8940627575,0.894701004,0.9155062288,False
1885.302329,1816.008383,69.29394622,basic,4,2,4,4,0.8876839727,0.8940428793,0.9063467532,0.913622424,False
1971.601911,1948.12364,23.47827068,basic,4,2,4,4,0.8951096535,0.9004116952,0.9004186392,0.907104671,False
1682.730307,1660.049287,22.68102034,basic,4,2,4,4,0.8943395168,0.8902980685,0.8953145295,0.9143437147,False
1889.994699,1797.104997,92.889702,basic,4,2,4,4,0.8943491131,0.892442733,0.8852491677,0.9086553156,False
1942.107047,1924.426424,17.68062231,basic,4,2,4,6,0.8917805851,0.9027170241,0.8963511884,0.9148593744,False
2118.685584,1893.526338,225.1592457,basic,4,2,4,5,0.8952251822,0.8961805105,0.7875693291,0.8275906205,False
1844.527429,1769.606496,74.92093306,pro,4,2,3,4,0.8980129212,0.8928015828,0.9020534952,0.9080767184,False
2184.587473,2057.214924,127.3725493,pro,4,2,4,5,0.8911521286,0.8942921162,0.8964171559,0.9025725365,False
1803.870817,1720.724704,83.14611348,basic,4,2,4,4,0.8917480409,0.8989542127,0.8982496411,0.9132844955,False
1939.320668,1913.090124,26.23054397,pro,4,2,4,4,0.9007076472,0.9026226103,0.9091190696,0.9033147097,False
1987.371987,1915.556501,71.81548521,basic,4,2,4,4,0.8955665678,0.8933789432,0.9002029151,0.903136909,False
2000.355575,1865.646227,134.7093484,pro,4,2,4,4,0.8918359131,0.9079523981,0.9018419832,0.8973519653,False
1927.235854,1892.569879,34.66597468,pro,4,2,4,4,0.8987178355,0.8949172497,0.8952041119,0.9140359163,False
2163.737906,2060.614616,103.12329,basic,4,2,4,6,0.8952829838,0.90170151,0.8992663622,0.9055708945,False
2008.00993,1956.438079,51.57185118,basic,4,2,4,4,0.8907641768,0.9009263813,0.9005218744,0.9190866053,False
2287.737566,1988.982827,298.7547391,pro,4,2,4,6,0.8893372416,0.8955315053,0.9006312639,0.8998036782,False
1974.770624,1887.717239,87.0533855,basic,4,2,4,4,0.8995781392,0.9034771323,0.8973698467,0.9191924185,False
1939.294759,1874.153697,65.14106118,pro,4,2,4,4,0.8918220103,0.8957124352,0.898155272,0.9041309357,False
2049.148836,1998.415892,50.73294404,basic,4,2,4,4,0.8914786875,0.8964635432,0.8986517638,0.9058474749,False
1823.039483,1806.811504,16.22797944,pro,4,2,4,4,0.897423014,0.899410814,0.9012054354,0.9185049236,False
2008.150041,1949.057541,59.09250024,basic,4,2,4,4,0.8954467326,0.8935882151,0.8953287154,0.896536231,False
2110.803083,1993.737614,117.0654691,basic,4,2,4,5,0.8918153048,0.8937952518,0.8958448321,0.907105577,False
2054.037323,1904.063884,149.9734394,basic,4,2,4,4,0.8907822669,0.9008258283,0.8885920942,0.9050713927,False
1820.972467,1744.679157,76.29330961,basic,4,2,4,4,0.8976977021,0.8891702592,0.8932563066,0.9086698592,False
2047.474001,1964.460553,83.01344727,basic,4,2,4,5,0.8951278329,0.8999632597,0.8944512606,0.9022004008,False
1917.074112,1901.374054,15.70005804,basic,4,2,4,4,0.8988494277,0.8911484182,0.8902725726,0.904919669,False
2170.319103,2059.889464,110.429639,pro,4,2,4,5,0.8874020576,0.8876247704,0.8994877934,0.8994107962,False
1991.304417,1925.451899,65.85251775,pro,4,2,4,4,0.8964064568,0.9028128386,0.894393608,0.9000470042,False
1877.074066,1837.530738,39.54332835,basic,3,2,4,4,0.8953381181,0.8957324922,0.8965453207,0.92152372,False
2038.923197,1980.264058,58.6591389,basic,4,2,4,4,0.8947539181,0.8938547075,0.8978158385,0.903560549,False
2056.086099,1996.747834,59.33826499,basic,4,2,4,4,0.8921971917,0.8957021534,0.9069928974,0.9105063379,False
1947.685953,1876.801525,70.88442815,basic,4,2,4,4,0.8943209201,0.904579401,0.8949676901,0.9157650024,False
2077.970699,1996.834489,81.13620999,pro,4,2,4,4,0.8965649456,0.8972301185,0.9006835818,0.9147346765,False
2229.814817,2104.305181,125.5096359,basic,4,2,4,6,0.8947525322,0.897123754,0.9087764323,0.8954597116,False
2039.758541,1957.76762,81.99092104,basic,4,2,4,4,0.890835613,0.890384227,0.8973689973,0.9040647149,False
2172.426005,1718.219014,454.206991,pro,4,2,4,6,0.899492994,0.9001086354,0.9017397612,0.9052511553,False
2109.040576,2062.921152,46.11942413,pro,4,2,4,6,0.8905432969,0.8985899389,0.9114791602,0.904862692,False
2081.245325,1981.106715,100.1386102,pro,4,2,4,4,0.8817657679,0.876511693,0.8694185317,0.8575228155,False
1896.164438,1820.644282,75.52015663,pro,4,2,4,4,0.8839339763,0.8952026069,0.895827353,0.9169700742,False
1721.403018,1653.761361,67.64165692,basic,4,2,4,3,0.8897186518,0.8917428553,0.8925469667,0.9119506081,False
2073.122595,1999.373008,73.74958722,pro,4,2,4,5,0.8876893222,0.9027553797,0.8982940018,0.8705331922,False
1862.339621,1774.26728,88.072341,pro,4,2,4,4,0.8941964805,0.9049066007,0.9015358239,0.9176903367,False
