Date,Number of passengers,Passenger Miles,Report Number of Passengers*
1/1/1991,1708917,496403905,3095646
2/1/1991,1620586,469330349,2888374
3/1/1991,1972715,587673262,3239288
4/1/1991,1811665,509303884,3137456
5/1/1991,1974964,564829409,3187129
6/1/1991,1862356,600660491,3125954
7/1/1991,1939860,628913573,3226855
8/1/1991,2013264,659096915,3236603
9/1/1991,1595657,492585869,2995918
10/1/1991,1724924,508901883,3031065
11/1/1991,1675667,472252956,2868562
12/1/1991,1813863,550665498,3086045
1/1/1992,1614827,493462807,2951442
2/1/1992,1557088,461749623,2810937
3/1/1992,1891223,559027365,3232353
4/1/1992,1955981,571943410,3246863
5/1/1992,1884714,544596358,3108078
6/1/1992,1623042,474917200,2915842
7/1/1992,1903309,606367732,3216901
8/1/1992,1996712,622965956,3308825
9/1/1992,1703897,514490865,3026517
10/1/1992,1810000,538226969,3179693
11/1/1992,1861601,539706600,3184416
12/1/1992,1875122,551280016,3156234
1/1/1993,1705259,500197078,3052279
2/1/1993,1618535,460961629,2934746
3/1/1993,1836709,534299133,3285322
4/1/1993,1957043,562303002,3302076
5/1/1993,1917185,552388886,3221513
6/1/1993,1882398,577754752,3292847
7/1/1993,1933009,583226639,3248806
8/1/1993,1996167,608168782,3394217
9/1/1993,1672841,499586130,3106752
10/1/1993,1752827,507549775,3213596
11/1/1993,1720377,489206968,3213288
12/1/1993,1734292,502907615,3108086
1/1/1994,1563365,472831403,3148575
2/1/1994,1573959,463282183,3089215
3/1/1994,1902639,571964081,3477971
4/1/1994,1833888,546771227,3304554
5/1/1994,1831049,522933969,3357177
6/1/1994,1775755,529165413,3293095
7/1/1994,1867508,574671588,3350120
8/1/1994,1906608,583670975,3505455
9/1/1994,1685632,488404706,3264545
10/1/1994,1778546,493457999,3432190
11/1/1994,1775995,477544091,3410561
12/1/1994,1783350,490734599,3289382
1/1/1995,1548415,425143815,3207971
2/1/1995,1496925,393021155,3050641
3/1/1995,1798316,489040307,3409564
4/1/1995,1732895,490776591,3352232
5/1/1995,1772345,509411677,3416988
6/1/1995,1761207,539539652,3238965
7/1/1995,1791655,567458779,3303223
8/1/1995,1874820,576863337,3428027
9/1/1995,1571309,449715520,3154069
10/1/1995,1646948,441066242,3321601
11/1/1995,1672631,435401205,3207227
12/1/1995,1656845,444473258,3115190
1/1/1996,1381758,361966649,2988810
2/1/1996,1360852,343129948,2962243
3/1/1996,1558575,415752849,3099483
4/1/1996,1608420,424923253,3231302
5/1/1996,1696696,465851556,3319578
6/1/1996,1693183,473445156,1693183
7/1/1996,1835516,522179981,1835516
8/1/1996,1942573,548423868,1942573
9/1/1996,1551401,410564752,1551401
10/1/1996,1686508,425911026,1686508
11/1/1996,1576204,389182650,1578982
12/1/1996,1700433,437112026,1700433
1/1/1997,1396588,337732248,1396588
2/1/1997,1371690,337732248,1396588
3/1/1997,1707522,416440369,1707522
4/1/1997,1654604,408306659,1654604
5/1/1997,1762903,442236862,1762903
6/1/1997,1775800,477393325,1775800
7/1/1997,1934219,535413368,1934219
8/1/1997,2008055,548657831,2008055
9/1/1997,1615924,423829195,1615924
10/1/1997,1773910,445688675,1773910
11/1/1997,1732368,441177914,1732368
12/1/1997,1796626,454271178,1796626
1/1/1998,1570330,371276735,1570330
2/1/1998,1412691,326559099,1412691
3/1/1998,1754641,425901740,1754641
4/1/1998,1824932,447588394,1824932
5/1/1998,1843289,460514614,1843289
6/1/1998,1825964,478420480,1825964
7/1/1998,1968172,532784007,1968172
8/1/1998,1921645,521631376,1921645
9/1/1998,1669597,428418596,1669597
10/1/1998,1791474,444612036,1791474
11/1/1998,1816714,427617951,1816714
12/1/1998,1846754,458866699,1846754
1/1/1999,1599427,384770454,1599427
2/1/1999,1548804,350177064,1548804
3/1/1999,1832333,436629761,1832333
4/1/1999,1839720,435108181,1839720
5/1/1999,1846498,448156292,1846498
6/1/1999,1864852,491972699,1864852
7/1/1999,1965743,538646659,1965743
8/1/1999,1949002,522835256,1949002
9/1/1999,1607373,390725088,1607373
10/1/1999,1803664,425674064,1803664
11/1/1999,1850309,421540247,1850309
12/1/1999,1836435,442441627,1836435
1/1/2000,1541660,366548616,1541660
2/1/2000,1616928,366023396,1616928
3/1/2000,1919538,452759413,1919538
4/1/2000,1971493,473339131,1971493
5/1/2000,1992301,479675238,1992301
6/1/2000,2009763,512798584,2009703
7/1/2000,2053996,560162374,2053996
8/1/2000,2097471,554253868,2097471
9/1/2000,1823706,442884586,1823706
10/1/2000,1976997,461995030,1976997
11/1/2000,1981408,442234739,1981408
12/1/2000,2000153,461316720,2000153
1/1/2001,1683148,379384616,1683148
2/1/2001,1663404,366130333,1744350
3/1/2001,2007928,448551496,2007927
4/1/2001,2023792,455153892,2023778
5/1/2001,2047008,460481095,2047008
6/1/2001,2072913,524053764,2072912
7/1/2001,2126717,558930352,2126717
8/1/2001,2202638,557145023,2202638
9/1/2001,1707693,443716699,1707693
10/1/2001,1950716,452023942,1950716
11/1/2001,1973614,446042290,1973614
12/1/2001,1984729,478954252,1984729
1/1/2002,1759629,398407819,1759627
2/1/2002,1770595,397785030,1770595
3/1/2002,2019912,458878068,2019912
4/1/2002,2048398,453013133,2048398
5/1/2002,2068763,459568018,2069063
6/1/2002,1994267,494965152,1994267
7/1/2002,2075258,558930352,2126717
8/1/2002,2026560,510926144,2026560
9/1/2002,1734155,382213573,1734155
10/1/2002,1916771,399039747,1916769
11/1/2002,1858345,375945497,1858341
12/1/2002,1996352,448145963,1996351
1/1/2003,1778033,393225236,1778033
2/1/2003,1749489,389806796,1749489
3/1/2003,2066466,472223723,2066466
4/1/2003,2098899,483447450,2098899
5/1/2003,2104911,483779366,2104911
6/1/2003,2129671,516859070,2129671
7/1/2003,2223349,562976962,2223349
8/1/2003,2174360,552106903,2174360
9/1/2003,1931406,425345815,1931406
10/1/2003,2121470,462871250,2121470
11/1/2003,2076054,448111872,2076054
12/1/2003,2140677,489178276,2140677
1/1/2004,1831508,410224432,1831508
2/1/2004,1838006,389433211,1838006
3/1/2004,2132446,452512390,2132446
4/1/2004,2109144,470964328,2109144
5/1/2004,2196549,470495125,2196549
6/1/2004,2185162,510190745,2185162
7/1/2004,2246389,549315050,2246389
8/1/2004,2176306,505400416,2176306
9/1/2004,1918759,398890601,1918759
10/1/2004,2114084,436679571,2114084
11/1/2004,2157279,440169495,2157279
12/1/2004,2228712,476607133,2228712
1/1/2005,1839593,378281389,1839593
2/1/2005,1793393,351346783,1793393
3/1/2005,2257739,463483641,2257739
4/1/2005,2115206,430380706,2115206
5/1/2005,2170325,458958840,2170325
6/1/2005,2185873,503012485,2185873
7/1/2005,2241162,541547699,2241162
8/1/2005,2193906,505646426,2193906
9/1/2005,2077231,433605236,2077231
10/1/2005,2120981,432277606,2120981
11/1/2005,2076685,435809076,2076685
12/1/2005,2004402,447019776,2004402
1/1/2006,1718884,363749319,1718884
2/1/2006,1689593,347336749,1689593
3/1/2006,2033850,429878782,2033850
4/1/2006,2071622,445432636,2071622
5/1/2006,2115474,457532893,2115474
6/1/2006,2191444,510543718,2191444
7/1/2006,2219010,542292373,2219010
8/1/2006,2211471,524610755,2211471
9/1/2006,1938601,425032855,1938601
10/1/2006,2135602,450856626,2135602
11/1/2006,2154199,451448118,2154199
12/1/2006,2068565,461087599,2068565
1/1/2007,1797382,377438027,1797382
2/1/2007,1778662,360210778,1778662
3/1/2007,2174315,458762486,2174315
4/1/2007,2207139,470310578,2207139
5/1/2007,2295604,492429243,2295604
6/1/2007,2291449,540655312,2291449
7/1/2007,2414051,578132653,2414051
8/1/2007,2429470,563985564,2429470
9/1/2007,2101002,448262939,2101002
10/1/2007,2336370,482614204,2336370
11/1/2007,2413851,502989644,2413851
12/1/2007,2311615,508458928,2311615
1/1/2008,2005038,416159418,2005038
2/1/2008,2029448,395820594,2029448
3/1/2008,2423532,503824519,2423532
4/1/2008,2320130,473706915,2320130
5/1/2008,2577189,547935743,2577189
6/1/2008,2560067,575573307,2560067
7/1/2008,2750278,639498668,2750278
8/1/2008,2683564,614872850,2683564
9/1/2008,2305321,498230991,2305321
10/1/2008,2439526,517446138,2439526
11/1/2008,2325788,484411027,2325788
12/1/2008,2284620,511026025,2284620
1/1/2009,1978503,419669287,1978503
2/1/2009,1849331,376483763,1849331
3/1/2009,2180182,455685352,2180182
4/1/2009,2266655,469521658,2266655
5/1/2009,2325658,493253866,2325658
6/1/2009,2347829,539153177,2347829
7/1/2009,2519869,592141536,2519869
8/1/2009,2485223,577933249,2485223
9/1/2009,2163752,460716494,2163752
10/1/2009,2377710,492912352,2377710
11/1/2009,2389841,498792767,2389841
12/1/2009,2394671,537832566,2394671
1/1/2010,2032586,440781178,2032586
2/1/2010,1951410,405789981,1951410
3/1/2010,2473551,538367417,2473551
4/1/2010,2445765,519946054,2445765
5/1/2010,2490611,542841299,2490611
6/1/2010,2566473,600985284,2566473
7/1/2010,2766812,665368163,2766812
8/1/2010,2541159,593172513,2541159
9/1/2010,2286215,495238850,2286215
10/1/2010,2541170,530848841,2541170
11/1/2010,2541087,528447657,2541087
12/1/2010,2504249,557918229,2504249
1/1/2011,2126429,456244881,2126429
2/1/2011,2099010,436082132,2099010
3/1/2011,2610567,565895720,2610567
4/1/2011,2688955,572377450,2688955
5/1/2011,2691371,582908029,2691371
6/1/2011,2812202,591206531,2812202
7/1/2011,2890763,627669522,2890763
8/1/2011,2719462,576671549,2719462
9/1/2011,2521110,505977556,2521110
10/1/2011,2389179,543240523,2389179
11/1/2011,2631290,552364699,2631290
12/1/2011,2515467,557200499,2515467
1/1/2012,2224002,462846708,2224002
2/1/2012,2231641,460977705,2231641
3/1/2012,2763361,543240523,2763361
4/1/2012,2763894,585455476,2763894
5/1/2012,2735455,592574462,2735455
6/1/2012,2757916,636589579,2757916
7/1/2012,2777117,656948016,2777117
8/1/2012,2769229,632947919,2769229
9/1/2012,2487441,529991093,2487441
10/1/2012,2596272,539212949,2596272
11/1/2012,2559615,534730929,2559615
12/1/2012,2604566,576917117,2604566
1/1/2013,2604566,576917117,2604566
2/1/2013,2217348,448818259,2217348
3/1/2013,2816139,603357897,2816139
4/1/2013,2816139,603357897,2816139
5/1/2013,2803527,596301190,2803527
6/1/2013,2804717,634518686,2804717
7/1/2013,2908190,673871218,2908190
8/1/2013,2980190,673871218,2980190
9/1/2013,2980190,673871218,2980190
10/1/2013,2980190,673871218,2980190
11/1/2013,2550704,519710842,2550704
12/1/2013,2711851,604638160,2711851
1/1/2014,2206788,466313254,2206788
2/1/2014,2092819,424064947,2092819
3/1/2014,2575951,542010073,2575951
4/1/2014,2592994,545548501,2592994
5/1/2014,2700179,574758752,2700179
6/1/2014,2695954,610799988,2695954
7/1/2014,2844949,656676984,2844949
8/1/2014,2802873,633466574,2802873
9/1/2014,2519583,532758063,2519583
10/1/2014,2702607,554310000,2702607
11/1/2014,2667575,546382000,2667575
12/1/2014,2656185,587592665,2656185
1/1/2015,2193845,458050766,2193845
2/1/2015,2166654,429792784,2166654
3/1/2015,2676170,555903968,2676170
4/1/2015,2621089,540987776,2621089
5/1/2015,2487546,533278166,2487546
6/1/2015,2683762,606192207,2683762
7/1/2015,2861747,664261468,2861747
8/1/2015,2692783,611750046,2692783
9/1/2015,2472007,512353039,2472007
10/1/2015,2636686,522917251,2636686
11/1/2015,2648743,538825242,2648743
12/1/2015,2582766,561590088,2582766
1/1/2016,2181704,443000252,2181704
2/1/2016,2215885,425020595,2215885
3/1/2016,2725860,554148139,2725860
4/1/2016,2539714,512249064,2539714
5/1/2016,2728331,565820000,2728331
6/1/2016,2757113,609519675,2757113
7/1/2016,2923180,664515869,2923180
8/1/2016,2755079,606616847,2755079
9/1/2016,2579658,521510960,2579658
10/1/2016,2616200,515229000,2616200
11/1/2016,2713345,540793509,2713345
12/1/2016,2672573,561987000,2672573
1/1/2017,2329527,457690085,2329527
2/1/2017,2151453,405474483,2151453
3/1/2017,2656439,529959013,2656439
4/1/2017,2762365,560895007,2762365
5/1/2017,2775471,567885593,2775471
6/1/2017,2823569,621453627,2823569
7/1/2017,2876066,650257149,2876066
8/1/2017,2819838,613256714,2819838
9/1/2017,2541622,502579834,2541622
10/1/2017,2785149,544437448,2785149
11/1/2017,2804107,551954951,2804107
12/1/2017,2680541,557488692,2680541
1/1/2018,2307547,438401899,2307547
2/1/2018,2157913,396915489,2157913
3/1/2018,2561693,506447013,2561693
4/1/2018,2595061,502464490,2595061
5/1/2018,2744626,549090247,2744626
6/1/2018,2787363,584268973,2787363
7/1/2018,2920412,637545401,2920412
8/1/2018,2848935,604598810,2848935
9/1/2018,2522367,487774481,2522367
10/1/2018,2807200,541364329,2807200
11/1/2018,2873968,561273216,2873968
12/1/2018,2668049,551126091,2668049
1/1/2019,2287615,443516656,2287615
2/1/2019,2161421,399909379,2161421
3/1/2019,2688326,515941342,2688326
4/1/2019,2727266,531852599,2727266
5/1/2019,2845654,569360387,2845654
6/1/2019,2863733,601888117,2863733
7/1/2019,2966828,639164374,2966828
8/1/2019,2930212,610171210,2930212
9/1/2019,2690638,520457452,2690638
10/1/2019,2854727,539874806,2854727
11/1/2019,2786264,523848163,2786264
12/1/2019,2786264,523848163,2786264
1/1/2020,2398335,447300373,2398335
2/1/2020,2275432,410615462,2275432
3/1/2020,1128332,232936863,1128332
4/1/2020,121140,36015903,121140
5/1/2020,213907,69091670,213907
6/1/2020,417053,128975484,417053
7/1/2020,560447,159614261,560447
8/1/2020,589171,157150342,589171
9/1/2020,637085,161990599,637085
10/1/2020,685386,160879849,685386
11/1/2020,587762,137187270,587762
12/1/2020,516845,130538071,516845
1/1/2021,486846,119840724,486846
2/1/2021,510442,115582939,510442
3/1/2021,728566,168682620,728566
4/1/2021,861471,197767930,861471
5/1/2021,1117790,258560691,1117790
6/1/2021,1506990,376279970,1506990
7/1/2021,1824517,436674592,1824517
8/1/2021,1749002,407639588,1749002
9/1/2021,1591189,348961844,1591189
10/1/2021,1845842,389812900,1845842
11/1/2021,1907979,401108567,1907979
12/1/2021,1776408,402984976,1776408
1/1/2022,1112919,250683408,1112919
2/1/2022,1270149,243426942,1270149
3/1/2022,1769484,352855964,1769484
4/1/2022,1927257,389648322,1927257
5/1/2022,2119168,448747738,2119168
6/1/2022,2257088,503311084,2257088
7/1/2022,2375341,538646080,2375341
8/1/2022,2321114,515587721,2321114
9/1/2022,2251740,450966446,2251740
10/1/2022,2375029,483683835,2375029
11/1/2022,2337445,461366618,2337445
12/1/2022,2239073,468525496,2239073
1/1/2023,1885608,389057298,1885608
2/1/2023,1831916,363592877,1831916
3/1/2023,2205037,455551233,2205037
4/1/2023,2421504,483331141,2421504
5/1/2023,2459821,491788527,2459821
6/1/2023,2570221,544710584,2570221
7/1/2023,2764407,587192170,2764407
8/1/2023,2736762,563099254,2736762
9/1/2023,2711523,531290037,2711523
10/1/2023,2892293,560264679,2892293
11/1/2023,2771027,540197438,2771027
12/1/2023,2692695,545620736,2692695
1/1/2024,2249985,439342328,2249985
2/1/2024,2286343,438964599,2286343
3/1/2024,2825551,563049325,2825551
4/1/2024,2705991,536487505,2705991
5/1/2024,2875949,575462576,2875949
6/1/2024,2817707,585593807,2817707
