DATE,QTY_B1_1,QTY_B1_2,QTY_B1_3,QTY_B1_4,QTY_B1_5,QTY_B1_6,QTY_B1_7,QTY_B1_8,QTY_B1_9,QTY_B1_10,QTY_B1_11,QTY_B1_12,QTY_B1_13,QTY_B1_14,QTY_B1_15,QTY_B1_16,QTY_B1_17,QTY_B1_18,QTY_B1_19,QTY_B1_20,QTY_B1_21,QTY_B1_22,QTY_B1_23,QTY_B1_24,QTY_B1_25,QTY_B1_26,QTY_B1_27,QTY_B1_28,QTY_B1_29,QTY_B1_30,QTY_B1_31,QTY_B1_32,QTY_B1_33,QTY_B1_34,QTY_B1_35,QTY_B1_36,QTY_B1_37,QTY_B1_38,QTY_B1_39,QTY_B1_40,QTY_B1_41,QTY_B1_42,QTY_B2_1,QTY_B2_2,QTY_B2_3,QTY_B2_4,QTY_B2_5,QTY_B2_6,QTY_B2_7,QTY_B2_8,QTY_B2_9,QTY_B2_10,QTY_B2_11,QTY_B2_12,QTY_B2_13,QTY_B2_14,QTY_B2_15,QTY_B2_16,QTY_B2_17,QTY_B2_18,QTY_B2_19,QTY_B2_20,QTY_B2_21,QTY_B2_22,QTY_B2_23,QTY_B2_24,QTY_B2_25,QTY_B2_26,QTY_B2_27,QTY_B2_28,QTY_B2_29,QTY_B2_30,QTY_B2_31,QTY_B2_32,QTY_B2_33,QTY_B2_34,QTY_B2_35,QTY_B2_36,QTY_B2_37,QTY_B2_38,QTY_B2_39,QTY_B2_40,QTY_B2_41,QTY_B2_42,QTY_B2_43,QTY_B2_44,QTY_B2_45,QTY_B3_1,QTY_B3_2,QTY_B3_3,QTY_B3_4,QTY_B3_5,QTY_B3_6,QTY_B3_7,QTY_B3_8,QTY_B3_9,QTY_B3_10,QTY_B3_11,QTY_B3_12,QTY_B3_13,QTY_B3_14,QTY_B3_15,QTY_B3_16,QTY_B3_17,QTY_B3_18,QTY_B3_19,QTY_B3_20,QTY_B3_21,QTY_B4_1,QTY_B4_2,QTY_B4_3,QTY_B4_4,QTY_B4_5,QTY_B4_6,QTY_B4_7,QTY_B4_8,QTY_B4_9,QTY_B4_10,PROMO_B1_1,PROMO_B1_2,PROMO_B1_3,PROMO_B1_4,PROMO_B1_5,PROMO_B1_6,PROMO_B1_7,PROMO_B1_8,PROMO_B1_9,PROMO_B1_10,PROMO_B1_11,PROMO_B1_12,PROMO_B1_13,PROMO_B1_14,PROMO_B1_15,PROMO_B1_16,PROMO_B1_17,PROMO_B1_18,PROMO_B1_19,PROMO_B1_20,PROMO_B1_21,PROMO_B1_22,PROMO_B1_23,PROMO_B1_24,PROMO_B1_25,PROMO_B1_26,PROMO_B1_27,PROMO_B1_28,PROMO_B1_29,PROMO_B1_30,PROMO_B1_31,PROMO_B1_32,PROMO_B1_33,PROMO_B1_34,PROMO_B1_35,PROMO_B1_36,PROMO_B1_37,PROMO_B1_38,PROMO_B1_39,PROMO_B1_40,PROMO_B1_41,PROMO_B1_42,PROMO_B2_1,PROMO_B2_2,PROMO_B2_3,PROMO_B2_4,PROMO_B2_5,PROMO_B2_6,PROMO_B2_7,PROMO_B2_8,PROMO_B2_9,PROMO_B2_10,PROMO_B2_11,PROMO_B2_12,PROMO_B2_13,PROMO_B2_14,PROMO_B2_15,PROMO_B2_16,PROMO_B2_17,PROMO_B2_18,PROMO_B2_19,PROMO_B2_20,PROMO_B2_21,PROMO_B2_22,PROMO_B2_23,PROMO_B2_24,PROMO_B2_25,PROMO_B2_26,PROMO_B2_27,PROMO_B2_28,PROMO_B2_29,PROMO_B2_30,PROMO_B2_31,PROMO_B2_32,PROMO_B2_33,PROMO_B2_34,PROMO_B2_35,PROMO_B2_36,PROMO_B2_37,PROMO_B2_38,PROMO_B2_39,PROMO_B2_40,PROMO_B2_41,PROMO_B2_42,PROMO_B2_43,PROMO_B2_44,PROMO_B2_45,PROMO_B3_1,PROMO_B3_2,PROMO_B3_3,PROMO_B3_4,PROMO_B3_5,PROMO_B3_6,PROMO_B3_7,PROMO_B3_8,PROMO_B3_9,PROMO_B3_10,PROMO_B3_11,PROMO_B3_12,PROMO_B3_13,PROMO_B3_14,PROMO_B3_15,PROMO_B3_16,PROMO_B3_17,PROMO_B3_18,PROMO_B3_19,PROMO_B3_20,PROMO_B3_21,PROMO_B4_1,PROMO_B4_2,PROMO_B4_3,PROMO_B4_4,PROMO_B4_5,PROMO_B4_6,PROMO_B4_7,PROMO_B4_8,PROMO_B4_9,PROMO_B4_10
1/2/2014,7,3,0,2,3,1,0,4,0,0,0,0,7,2,5,2,0,7,1,0,0,4,1,2,4,2,3,2,2,0,0,0,1,1,2,0,19,4,0,2,3,5,0,0,8,14,3,6,1,3,3,4,0,0,4,0,14,2,3,10,0,0,4,4,1,0,1,2,6,15,5,6,2,3,4,7,7,5,10,5,5,2,1,1,5,10,0,2,2,1,3,1,0,1,2,1,2,2,1,0,0,0,4,1,4,4,0,1,2,0,11,0,2,1,4,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2014,5,0,0,6,9,1,2,4,0,1,4,0,4,4,3,8,2,13,1,0,2,3,0,10,3,4,3,1,1,0,0,0,2,3,1,2,2,7,0,5,15,5,0,0,7,12,2,7,7,0,2,8,2,2,3,1,17,0,1,19,0,1,5,5,2,4,1,14,3,8,1,6,6,3,5,9,21,8,13,11,5,5,5,2,3,12,0,0,1,1,5,3,1,1,1,1,2,1,5,0,1,0,6,1,1,1,0,0,1,1,5,3,7,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2014,9,7,2,1,5,2,0,6,4,5,2,7,10,5,1,2,0,15,3,1,6,1,2,1,0,5,1,5,6,1,2,4,4,3,2,4,2,6,6,7,4,3,0,0,6,16,6,4,1,5,4,14,4,1,11,11,21,1,1,9,4,0,4,10,4,0,3,8,13,14,2,10,2,10,3,5,11,10,13,4,1,1,2,2,4,8,1,0,1,0,5,7,2,0,4,2,7,7,10,1,2,4,16,9,3,6,1,7,9,7,4,1,2,0,5,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2014,5,1,2,2,3,0,1,4,5,1,0,19,5,4,2,0,0,2,2,4,0,1,3,1,3,5,0,2,4,0,1,8,1,1,1,2,1,0,2,4,1,3,0,2,1,11,2,1,6,0,5,1,2,2,2,0,5,0,5,1,1,2,1,3,4,1,5,1,3,1,0,5,3,0,2,3,7,7,3,0,4,1,0,1,0,1,1,1,0,1,3,0,1,0,1,0,1,1,0,1,4,0,2,0,1,0,1,0,5,2,2,0,0,1,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2014,1,0,1,0,1,0,0,2,1,1,3,5,4,1,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,6,1,3,1,0,1,0,0,3,2,1,0,1,2,0,3,0,0,1,2,8,0,0,4,0,0,2,2,1,1,1,0,0,2,0,0,0,1,0,3,6,2,2,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1/7/2014,12,2,6,4,1,0,1,4,1,4,6,13,0,2,1,2,0,3,0,9,0,2,3,0,5,1,6,7,6,4,8,7,2,3,0,0,11,8,4,3,6,2,0,5,13,4,2,3,3,9,1,3,1,1,6,6,12,0,2,5,1,2,6,4,4,7,0,8,1,7,3,7,1,5,3,1,6,8,11,6,9,1,1,0,3,1,1,2,1,0,1,3,3,2,2,1,0,1,1,0,5,2,8,2,3,1,3,2,6,1,5,2,1,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1
1/8/2014,2,0,5,2,3,0,1,1,5,4,3,10,1,4,3,4,0,1,3,11,0,4,0,0,2,3,0,3,9,6,1,2,0,1,8,0,7,4,2,2,3,4,0,3,4,17,1,6,3,5,1,3,1,0,6,0,10,0,2,7,2,0,5,6,2,2,0,4,2,10,1,5,2,2,5,2,1,2,8,3,1,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,1,1,1,0,0,6,1,2,2,0,1,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
1/9/2014,2,2,8,2,2,1,0,1,3,1,0,17,5,4,1,4,0,3,1,6,1,1,1,6,0,4,0,4,4,3,2,3,2,0,0,1,2,8,3,3,0,1,0,2,2,12,4,3,7,1,2,1,2,1,10,0,13,0,7,6,1,0,6,4,1,1,0,0,7,9,5,5,0,6,8,0,11,18,6,6,1,2,2,5,4,2,1,1,0,2,2,2,0,0,0,2,0,1,1,0,2,0,8,2,1,2,0,0,4,0,0,0,3,0,1,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
1/10/2014,3,2,3,0,1,0,1,3,5,1,2,26,11,2,3,3,0,0,1,11,3,1,3,2,2,1,0,4,2,3,3,13,0,1,2,0,7,6,4,4,5,10,0,1,2,12,7,2,4,2,4,2,0,4,4,1,16,1,0,8,1,0,5,2,1,2,0,3,7,5,0,4,2,6,1,3,15,3,4,9,7,7,0,1,0,4,0,0,2,1,3,4,2,1,1,2,0,0,3,2,3,0,1,2,0,2,1,1,24,4,1,0,3,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
1/11/2014,5,5,7,3,4,2,3,2,7,4,5,33,12,4,1,2,3,8,1,9,2,10,4,3,2,3,2,5,2,4,9,6,2,2,4,3,17,7,16,4,4,8,2,11,5,22,4,2,7,4,6,5,2,1,2,3,20,1,1,14,2,1,9,6,6,1,5,9,15,13,5,9,3,2,4,12,11,6,10,3,12,7,3,3,3,2,3,0,3,0,3,6,1,0,4,5,5,1,9,2,2,2,4,11,0,3,0,1,6,1,5,2,3,1,0,13,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
