CO.GT, NO.GT, T, RH, AH
1.2,62,11.3,56.8,0.7603
1,62,10.7,60,0.7702
0.9,45,10.7,59.7,0.7648
0.6,0,10.3,60.2,0.7517
0,21,10.1,60.5,0.7465
0.7,16,11,56.2,0.7366
0.7,34,10.5,58.1,0.7353
1.1,98,10.2,59.6,0.7417
2,174,10.8,57.4,0.7408
2.2,129,10.5,60.6,0.7691
1.7,112,10.8,58.4,0.7552
1.5,95,10.5,57.9,0.7352
1.6,104,9.5,66.8,0.7951
1.9,146,8.3,76.4,0.8393
2.9,207,8,81.1,0.8736
2.2,184,8.3,79.8,0.8778
2.2,193,9.7,71.2,0.8569
2.9,243,9.8,67.6,0.8185
4.8,281,10.3,64.2,0.8065
6.9,383,9.7,69.3,0.8319
6.1,351,9.6,67.8,0.8133
3.9,240,9.1,64,0.7419
1.5,94,8.2,63.4,0.6905
1,47,8.2,60.8,0.6657
1.7,122,8.3,58.5,0.6438
1.9,133,7.7,59.7,0.6308
1.4,82,7.1,61.8,0.6276
0.8,0,7,62.3,0.6261
0,21,6.1,65.9,0.6248
0.6,30,6.3,65,0.6233
0.8,56,6.8,62.9,0.6234
1.4,109,6.4,65.1,0.6316
4.4,307,7.3,63.1,0.6499
0,0,9.2,56.2,0.6561
3.1,187,13.2,41.7,0.632
2.7,216,14.3,38.4,0.6243
2.1,143,15,36.5,0.6195
2.5,160,16.1,34.5,0.6262
2.7,163,16.3,35.7,0.656
2.9,190,15.8,37,0.661
2.8,178,15.9,37.2,0.6657
2.4,150,16.9,34.3,0.6549
3.9,206,15.1,39.6,0.6766
3.7,202,14.4,43.4,0.7084
6.6,340,12.9,50.5,0.7478
4.4,274,12.1,53.3,0.7536
3.5,253,11,59.1,0.774
5.4,300,9.7,64.6,0.7771
2.7,193,9.5,64.1,0.7597
1.9,139,9.1,63.9,0.7423
1.6,83,8.8,63.9,0.7256
1.7,0,7.8,67.5,0.7173
0,109,7,71.1,0.7158
1,62,8.3,63.6,0.6982
1.2,53,7.2,67.5,0.6887
1.5,139,6.3,71.9,0.6932
2.7,256,6.5,71.6,0.6945
3.7,295,9.6,59.7,0.7124
3.2,250,12.4,51.2,0.7335
4.1,296,15.6,42.2,0.7451
3.6,239,18.4,33.8,0.709
2.8,153,19.4,31.3,0.695
2,118,18,34.8,0.7127
2,119,18.4,33.6,0.7042
2.5,138,17.6,35.1,0.7012
2.3,148,16.7,37.8,0.7117
3.2,227,16.1,41,0.7451
4.2,277,15.8,42.4,0.7569
4.2,279,15.7,44.1,0.7786
4.2,283,15.3,46.8,0.8091
3.1,214,14.6,48.6,0.806
2.6,172,14.7,49.3,0.8193
2.9,190,13.9,53.6,0.8498
2.8,174,14.6,51.5,0.8536
2.5,128,12.5,58.9,0.8537
2.4,0,11.6,63.4,0.8674
0,70,12.1,61.1,0.8603
1.2,53,11.5,63.1,0.8533
1,44,11.6,62.2,0.8473
0.9,74,10.4,67.6,0.853
1.4,101,11.6,62.7,0.853
1.6,118,12.4,60,0.8627
2.2,144,14.5,53.1,0.8728
2.8,176,16.9,46.1,0.8789
2.8,161,19.3,38.3,0.8474
2,113,21.2,31.4,0.7812
1.8,103,21.4,30.2,0.7616
1.9,112,21.9,29,0.7525
3,170,22.2,28.4,0.7516
2.9,180,21.3,30.8,0.7696
2.5,160,19.7,36.7,0.8307
4.6,261,18.4,41.7,0.8732
5.9,325,17.6,46.1,0.921
3.4,217,16.7,49.6,0.932
2.1,146,16.3,51,0.9341
2.2,152,14.7,55.9,0.9314
1.8,104,14.8,54.7,0.9164
1.8,106,14,57,0.9094
1.8,108,13.4,61.3,0.9361
1.1,0,12.6,63.5,0.923
0,66,12.3,65.4,0.9351
1,88,11.9,67.4,0.9375
1.4,138,11.4,70.5,0.9475
2.2,228,11.3,70.2,0.9401
5.5,360,12.4,63.9,0.917
