Date,Close/Last,Volume,Open,High,Low
4/25/2025,163.85,35148050,167.1,168.24,163
4/24/2025,161.47,30787480,158.53,161.71,158.09
4/23/2025,157.72,18575740,157.91,160.02,156.35
4/22/2025,153.9,15910330,151.07,154.61,150.87
4/21/2025,149.86,16147780,150.97,151.06,148.4
4/17/2025,153.36,19513410,156.61,157.07,150.9
4/16/2025,155.5,16921500,155.47,158.18,153.91
4/15/2025,158.68,15690780,161.57,162.05,157.65
4/14/2025,161.47,18255930,162.31,164.03,159.92
4/11/2025,159.4,22581990,155.59,159.86,155.59
4/10/2025,155.37,35270540,158.76,160.03,152.2
4/9/2025,161.06,46479540,146.33,161.87,145.81
4/8/2025,146.58,35304390,153.58,154.44,145.21
4/7/2025,149.24,47823020,143.39,154.93,142.66
4/4/2025,147.74,39832210,149.9,153.09,147.54
4/3/2025,152.63,28416070,152.84,154.69,152.18
4/2/2025,158.86,17113320,156.96,160.28,156.53
4/1/2025,158.88,20111380,155.3,160.08,155.26
3/31/2025,156.23,33591550,154.81,157.13,152.21
3/28/2025,156.06,34866460,162.36,163.81,155.34
3/27/2025,164.08,21571170,166.71,167.44,163.85
3/26/2025,167.14,22554240,171.3,171.94,166.86
3/25/2025,172.79,13841590,171.18,172.91,170.55
3/24/2025,169.93,18742850,169.27,170.5,167.44
3/21/2025,166.25,29882060,163.38,166.47,163.03
3/20/2025,165.05,19981510,163.83,167.03,163.14
3/19/2025,166.28,24955720,163.92,168.13,163.05
3/18/2025,162.67,24616780,165.96,166.44,158.8
3/17/2025,166.57,17839140,167.33,168.46,165.81
3/14/2025,167.62,18611090,165.32,168.25,164.51
3/13/2025,164.73,15206170,167.98,168.12,164.07
3/12/2025,169,19880060,168.47,169.53,165.48
3/11/2025,165.98,23705900,166.68,168.66,163.24
3/10/2025,167.81,28990720,170.16,170.45,165.57
3/7/2025,175.75,16395290,173.24,176.9,172.25
3/6/2025,174.21,19082400,172.55,176.73,172.51
3/5/2025,174.99,18848040,172.32,175.75,170.93
3/4/2025,172.61,30711410,167.94,175.17,167.54
3/3/2025,168.66,24121990,173.73,175,167.64
2/28/2025,172.22,30049810,170.3,172.5,168.39
2/27/2025,170.21,25930530,175.94,176.59,169.75
2/26/2025,174.7,23693250,176.95,178.08,173.59
2/25/2025,177.37,20832490,180.16,180.76,176.77
2/24/2025,181.19,18734010,183.8,185.09,180.88
2/21/2025,181.58,19520780,187.29,187.47,181.13
2/20/2025,186.64,12063810,186.5,187.12,184.6
2/19/2025,187.13,13120470,186.19,187.36,185.5
2/18/2025,185.8,19796030,187.44,187.78,183.58
2/14/2025,186.87,12714150,186.83,188.15,186.11
2/13/2025,187.88,12729330,185.93,187.99,184.88
2/12/2025,185.43,17632310,185.23,186.83,183.63
2/11/2025,187.07,13028100,186.84,188.8,186.08
2/10/2025,188.2,16606020,189.06,189.99,187.61
2/7/2025,187.14,29565720,192.74,193.02,185.1
2/6/2025,193.31,20816590,190.99,193.83,190.49
2/5/2025,193.3,43719590,193.1,194.55,189.91
2/4/2025,207.71,28285440,204.5,208.7,204.26
2/3/2025,202.64,16719470,202.22,205.22,201.66
1/31/2025,205.6,17087340,203.72,207.08,203.58
1/30/2025,202.63,14571480,199.76,203.24,199.47
1/29/2025,197.18,12287820,197.37,198.46,195.19
1/28/2025,197.07,15939160,194.65,197.23,192.61
1/27/2025,193.77,24970170,194.19,198.67,192.7
1/24/2025,201.9,12732380,199.85,202.57,199.78
1/23/2025,199.58,15170840,199.98,201.94,196.82
1/22/2025,200.03,15477380,200.55,202.12,199.2
1/21/2025,199.63,19005230,200.51,203.84,199.44
1/17/2025,197.55,22109130,198.05,198.81,195.31
1/16/2025,194.41,13449580,195.83,196.98,194.3
1/15/2025,196.98,12894880,194.35,197.8,193.33
1/14/2025,191.05,13651180,192.5,193.27,189.64
1/13/2025,192.29,13169060,191.35,192.49,188.66
1/10/2025,193.17,20753790,195.42,197.62,191.6
1/8/2025,195.39,14335340,193.95,197.64,193.75
1/7/2025,196.71,16966760,198.27,202.14,195.94
1/6/2025,197.96,19483320,195.15,199.56,195.06
1/3/2025,193.13,12874960,192.73,194.5,191.35
1/2/2025,190.63,17545160,191.49,193.2,188.71
12/31/2024,190.44,14355220,192.45,193.25,189.58
12/30/2024,192.69,12209530,190.87,193.78,190.36
12/27/2024,194.04,14692990,196.47,196.8,191.97
12/26/2024,197.1,7918434,196.74,198.16,195.87
12/24/2024,197.57,6809823,196.17,197.67,195.2
12/23/2024,195.99,15235940,194.03,196.49,191.63
12/20/2024,192.96,45319700,187.01,194.14,186.37
12/19/2024,189.7,26981200,193.28,194.6,189.52
12/18/2024,190.15,27638420,196.83,198.69,189.28
12/17/2024,197.12,24129480,198.53,202.88,196.69
12/16/2024,198.16,32248640,194.37,200.64,194.11
12/13/2024,191.38,18883220,192.71,194.34,191.26
12/12/2024,193.63,25197760,196.3,196.71,193.28
12/11/2024,196.71,41664490,186.7,196.89,186.26
12/10/2024,186.53,34317440,184.54,188.03,182.67
12/9/2024,177.1,19887790,175.72,178.04,175.4
12/6/2024,176.49,13319550,173.88,176.84,173.55
12/5/2024,174.31,16145520,177.32,177.71,174.01
12/4/2024,176.09,18239840,172.78,176.43,172.75
12/3/2024,173.02,15721480,173.12,174.32,172.51
12/2/2024,172.98,16593440,170.32,173.6,170.27
11/29/2024,170.49,9250712,170.06,170.87,168.75
11/27/2024,170.82,12433370,170.68,171.14,169.67
