Year,Mag,Earthquake Name,State,Country
,,,,
1933,6.3,LONG BEACH EARTHQUAKE,CA,USA
1933,5.4,SOUTHERN CALIFORNIA EARTHQUAKE,CA,USA
1934,6.5,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1935,6,HELENA EARTHQUAKE,MT,USA
1937,5.7,HUMBOLDT BAY EARTHQUAKE,CA,USA
1938,4,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1938,3,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1938,5.5,NORTHWEST CALIFORNIA EQ,CA,USA
1939,2.7,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1940,6.7,IMPERIAL VALLEY AFTERSHOCK,CA,USA
1940,7.1,IMPERIAL VALLEY AFTERSHOCK,CA,USA
1941,6.6,NORTHWEST CALIFORNIA EQ,CA,USA
1941,5.9,SANTA BARBARA EARTHQUAKE,CA,USA
1941,6.4,NORTHERN CALIFORNIA EARTHQUAKE,CA,USA
1941,5.4,TORRANCE-GARDENA EARTHQUAKE,CA,USA
1942,6.5,BORREGO VALLEY EARTHQUAKE,CA,USA
1949,5.2,NORTHERN CALIFORNIA EARTHQUAKE,CA,USA
1949,7.1,PUGET SOUND EARTHQUAKE,WA,USA
1951,6.4,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1951,6,NORTHWEST CALIFORNIA EQ,CA,USA
1952,7.7,KERN COUNTY EARTHQUAKE,CA,USA
1952,5.2,NORTHERN CALIFORNIA EARTHQUAKE,CA,USA
1952,6,SOUTHERN CALIFORNIA EARTHQUAKE,CA,USA
1953,5.5,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1954,5.9,WHEELER RIDGE EARTHQUAKE,CA,USA
1954,5.3,CENTRAL CALIFORNIA EARTHQUAKE,CA,USA
1954,6.3,BAJA CALIFORNIA EARTHQUAKE,CA,USA
1954,6.6,EUREKA EARTHQUAKE,CA,USA
1955,5.8,SAN JOSE EARTHQUAKE,CA,USA
1955,3.9,IMPERIAL VALLEY FORESHOCK,CA,USA
1955,5.4,IMPERIAL VALLEY EARTHQUAKE,CA,USA
1956,6.8,"EL ALAMO, BAJA EARTHQUAKE",CA,USA
1956,6.1,"EL ALAMO, BAJA AFTERSHOCK",CA,USA
1956,5.7,RIVER EBO EARTHQUAKE,,JAPAN
1956,6.9,CHIBA PREFECTURE EARTHQUAKE,,JAPAN
1957,4.7,SOUTHERN CALIFORNIA EARTHQUAKE,CA,USA
1957,4.4,SAN FRANCISCO EARTHQUAKE,CA,USA
1957,3.8,SAN FRANCISCO FORESHOCK,CA,USA
1957,5.3,SAN FRANCISCO AFTERSHOCK,CA,USA
1957,4,SAN FRANCISCO AFTERSHOCK,CA,USA
1960,5.1,CENTRAL CALIFORNIA EARTHQUAKE,CA,USA
1960,5.7,NORTHERN CALIFORNIA EARTHQUAKE,CA,USA
1961,5.6,HOLLISTER EARTHQUAKE,CA,USA
1962,6.4,HOKKAIDO EARTHQUAKE,,JAPAN
1962,6.5,MIYAGI PREFECTURE EARTHQUAKE,,JAPAN
1962,5.5,MIYAGI PREFECTURE EARTHQUAKE,,JAPAN
1962,4.9,NORTHERN CALIFORNIA EARTHQUAKE,CA,USA
1963,5.3,ECHIZEN-MISAKI EARTHQUAKE,,JAPAN
1963,5.4,IBARAKI PREFECTURE EARTHQUAKE,,JAPAN
1963,5.3,CHIBA PREFECTURE EARTHQUAKE,,JAPAN
1963,5.2,IBARAKI PREFECTURE EARTHQUAKE,,JAPAN
1964,6,IBARAKI PREFECTURE EARTHQUAKE,,JAPAN
1964,5.2,ALASKA SUBDUCTION EQ,AK,USA
1964,5,ALASKA SUBDUCTION EQ,AK,USA
